Explicit URL,Type,Published,Is featured?,Visibility in catalog,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Parent,Categories,Name,Short description,Regular price,Description,SKU,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
https://www.myshopwala.com/product/deluxedry-3-in-1-hair-styler-that-dries-straightens-and-curls-your-hair/,simple,1,0,hidden,taxable,1,0,0,1,,Health & Beauty,"3in1Hair – 3 IN 1 HAIR-STYLER THAT DRIES, STRAIGHTENS AND CURLS YOUR HAIR!","Making your hair look good is not a problem anymore! This 3 in 1 brand new, professional hair styler will do all the job. Just make your style with it every day after a shower!

Professional and long lasting
Multi-functional
Easy for everyday usage",79,"3in1Hair is a conventional hair dryer, a round brush, and a curling iron. It can easily form lovely locks, as well as style your bang and dry thick, unruly hair quickly. This is an indispensable device for styling curly or wavy hair. The most important advantage is that all procedures are performed with just one hand. During the process of hair drying, the brush may rotate, which allows you to dry and curl your strands without effort.

Powerful
Unique Shape
No Damage to Hair



	
	
		SKU: N/A

	
	Category: Health & Beauty",6229,"https://www.myshopwala.com/wp-content/uploads/2019/08/deluxedry.jpg,https://www.myshopwala.com/wp-content/uploads/2019/08/img_bottom.png,https://www.myshopwala.com/wp-content/uploads/2019/08/61ffLTon-9L.jpg,https://www.myshopwala.com/wp-content/uploads/2019/08/61gPq1axDML.jpg,https://www.myshopwala.com/wp-content/uploads/2019/08/61L3NQnjM9L.jpg",,,,,,,,
https://www.myshopwala.com/product/carclean-make-your-dirty-car-look-like-new-again/,simple,1,0,hidden,taxable,1,0,0,1,,Automobiles & Motocycle,AutoClean – MAKE YOUR DIRTY CAR LOOK LIKE NEW AGAIN!,"Your car is looking dirty, old and used ? Washing is too boring and you dont want to spend money every month ? This professional air pistol will transform your used dirty car into a new one!

Perfect for Interiors and Exteriors
Cleans any surface and material
Fast, easy and cheap",59,"AutoClean is good for cleaning wool car upholstery, leather car upholstery, dashboard, steering wheel, door panels, carpet, floor mats, car roof,the engine surface, the surface of the tire, wheel surface.
Fits comfortable in your hand.
Non contact cleaning.
Deeply cleans dirt.


	
	
		SKU: N/A

	
	Category: Automobiles & Motocycle",4726,"https://www.myshopwala.com/wp-content/uploads/2018/11/carclean2-1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/11/carclean6.jpg,https://www.myshopwala.com/wp-content/uploads/2018/11/carclean8.jpg,https://www.myshopwala.com/wp-content/uploads/2018/11/carclean9.jpg,https://www.myshopwala.com/wp-content/uploads/2018/11/carclean.jpg",,,,,,,,
https://www.myshopwala.com/product/cargap-stop-dropping-things-into-the-black-hole/,simple,1,0,hidden,taxable,1,0,0,1,,Automobiles & Motocycle,AutoGap- Stop Dropping Things Into The Black Hole,"Are you one of those people who is always droping things under your car seat ? With AutoGap That wont happen again and You wont get distracted by trying to get them.

Works On Any Car
Comes With 2 Drop Stops
Made of durable and easily cleaned neoprene",29,"Stop dropping things into the black hole between the car seats and console
AutoGap blocks that annoying yet ever so dangerous gap between your car or truck seat and center console. Once placed it moves with the seat and no need to readjust or reinstall.

High Quality Material – High quality neoprene casing allows AutoGap to contract or expand to whatever size gap you have.
Perfect for any Car – One size fits all vehicles.
One color blends all – The gap is always a dark shadow so once you install AutoGap, you won't know it's there.



	
	
		SKU: N/A

	
	Category: Automobiles & Motocycle",4297,"https://www.myshopwala.com/wp-content/uploads/2018/09/product.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img2-1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img3-1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img4.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img5.jpg",,,,,,,,
https://www.myshopwala.com/product/autohud/,simple,1,0,hidden,taxable,1,0,0,1,,Automobiles & Motocycle>Electrical & Tools,AutoNav – Advanced Navigation Display That Makes Roads Safer Than Ever!,"This advanced new display is being pointed out as the road-safety device of the century! If you never heard about it, follow this on and improve the safety of your trips!",39," 
AutoNav is a system that projects in the windshield of your vehicle several important information to aid in your driving.

   MAIN FEATURES
• Hot sale product, high-quality material, elegant design to prevent accidental falling
• Projector function, cool and convenient to watch
• Adjustable folding for phone GPS size and angle to satisfy your need
• Focus on your attention and drive safely
• According to body science design, the best vision level to keep your eyes on the way


	
	
		SKU: N/A

	
	Categories: Automobiles & Motocycle, Electrical & Tools",38,"https://www.myshopwala.com/wp-content/uploads/2017/11/3.jpeg,https://www.myshopwala.com/wp-content/uploads/2017/11/1.jpg,https://www.myshopwala.com/wp-content/uploads/2017/11/2.jpg,https://www.myshopwala.com/wp-content/uploads/2017/11/4.jpeg",,,,,,,,
https://www.myshopwala.com/product/essentials-make-your-baths-more-relaxing-and-healthy/,simple,1,0,hidden,taxable,1,0,0,1,,Health & Beauty>Home & Garden,BathBomb- Make Your Baths More Relaxing And Healthy!,"Whether you're after a relaxing, petal-laden floral soak or an invigorating multilayered explosion of color and scent, there's a bath bomb perfect for every bathing experience.

Natural Ingredients
More than 6 helth benefits
Extra-Relaxing",39,"BathBomb is a pack of 6 bathbombs that will heighten, change or enhance your mood. Every one of our bathbombs contain ingredients that are extracted from plants, flowers and fruit that will heighten, change or enhance your mood and health. Whether you're after a relaxing, petal-laden floral soak or an invigorating multilayered explosion of color and scent, there's a bath bomb perfect for every bathing experience.

6 Different Bathbombs
Help improve your health and well being
Made with natural ingredients




	
	
		SKU: N/A

	
	Categories: Health & Beauty, Home & Garden",5054,"https://www.myshopwala.com/wp-content/uploads/2018/12/img_about3.png,https://www.myshopwala.com/wp-content/uploads/2018/12/img_about.png,https://www.myshopwala.com/wp-content/uploads/2018/12/img_about1.png,https://www.myshopwala.com/wp-content/uploads/2018/12/img_about2.png",,,,,,,,
https://www.myshopwala.com/product/beenmap-a-creative-way-to-mark-travel-advantures-on-a-map/,simple,1,0,hidden,taxable,1,0,0,1,,Home & Garden,BeenThere – A CREATIVE WAY TO MARK TRAVEL ADVANTURES ON A MAP,"Do you want to keep memories of which countries you travelled? BeenThere is perfect for keeping track of where you have been and where you still need to go

Easy to erase
Educational
Eye-catching design",39,"BeenThere is scratchable map,by which you can keep track of countries and destinations that you have already been. If you want to erase a country, you just need a coin or eraser to scretch the foil and reveal the colored version. It is presentable enough to hang on the wall. It is also an amazing present for travellers.

Suitable for framing on the wall
Fashionable style
Everlasting memories



	
	
		SKU: N/A

	
	Category: Home & Garden",5611,"https://www.myshopwala.com/wp-content/uploads/2019/04/beenmap9-1.jpg,https://www.myshopwala.com/wp-content/uploads/2019/04/beenmap.jpg,https://www.myshopwala.com/wp-content/uploads/2019/04/beenmap3.jpg,https://www.myshopwala.com/wp-content/uploads/2019/04/beenmap5.jpg,https://www.myshopwala.com/wp-content/uploads/2019/04/beenmap10.jpg",,,,,,,,
https://www.myshopwala.com/product/dogbowl-change-the-way-dogs-eat-for-better/,simple,1,0,hidden,taxable,1,0,0,1,,Home & Garden,BetterBowl – Change The Way Dogs Eat – For Better!,There is a new smart bowl called BetterBowl that makes your dog eat 7 times slower! This new smart bowl helps your pets have healthier nutrition!,49,"The BetterBowl was designed to perform one thing:
Prevent your dog from eating too fast. The bowl contains elevated sections that stop your dog from eating all the food at once.
BetterBowl also creates a fun experience for your dog, because while he tries to get food between sections, it stimulates the brain at the same time.           



	
	
		SKU: N/A

	
	Category: Home & Garden",5738,"https://www.myshopwala.com/wp-content/uploads/2019/04/dogbowl3.jpg,https://www.myshopwala.com/wp-content/uploads/2019/04/dogbowl1.jpg,https://www.myshopwala.com/wp-content/uploads/2019/04/dogbowl2.jpg,https://www.myshopwala.com/wp-content/uploads/2019/04/vs.png",,,,,,,,
https://www.myshopwala.com/product/ecomaxpro-reuse-your-wiper-blades-instead-of-buying-new-ones/,simple,1,0,hidden,taxable,1,0,0,1,,Automobiles & Motocycle,BladeReviver – Reuse Your Blades Instead of Buying New Ones!,"Are you tired of spending a lot of money on your car maintenance? Due to weather conditions, dirt and the remains of insects, the edges of the wiper blades are worn down over time. BladeReviver is here to save your money.Just cut and reuse your wiper blades!

Quick and easy to use
Restores a clear view
Just 5 minutes and your wiper blades are like new",29,"About EcomMaxPro
BladeReviver cuts off the worn edges precisely, making them sharp once again. After being cut, the wiper blades will work properly again without causing smears.

Makes wiper blades reusable with precise cutting
Easy to use and lightweight
Protects the environment by reducing waste



	
	
		SKU: N/A

	
	Category: Automobiles & Motocycle",4502,"https://www.myshopwala.com/wp-content/uploads/2018/10/img_about3-1-1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/10/img_about-1-1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/10/img_about1-1-1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/10/img_about2-1-1.jpg",,,,,,,,
https://www.myshopwala.com/product/carbonwallet-the-slimmest-and-most-comfortable-wallet/,simple,1,0,hidden,taxable,1,0,0,1,,Uncategorized,CarbonSlim- The Slimmest And Most Comfortable Wallet!,"Are you tired of big and unsighty wallets? CarbonSlim is the most easy to use, compact wallet.

Flexible design
Easy to load and remove cards
Perfect for traveling",59,"CarbonSlim is an ultra thin, ultra stylish and ultra secure way to hold up to 12 cards. There is also a money clip on the outside, which holds the cash. The edges of the aluminum side plates are curved on the inside making it very easy to slide the first card into the wallet.To access one of the middle cards it is just needed to pull all of the cards from top and they are about half way out.

Durable
Slim
Functional




	
	
		SKU: N/A

	
	Category: Uncategorized",5076,"https://www.myshopwala.com/wp-content/uploads/2018/12/faq_img-1.png,https://www.myshopwala.com/wp-content/uploads/2018/12/img_about-1.png,https://www.myshopwala.com/wp-content/uploads/2018/12/img_about1-1.png,https://www.myshopwala.com/wp-content/uploads/2018/12/img_about2-1.png,https://www.myshopwala.com/wp-content/uploads/2018/12/img_about3-1.png",,,,,,,,
https://www.myshopwala.com/product/airpure-eliminate-all-smells-and-smoke-from-your-car/,simple,1,0,hidden,taxable,1,0,0,1,,Automobiles & Motocycle,CarFresh- Eliminate All Smells And Smoke From Your Car,"You will no longer be bothered by passive smoking and horrible odors. Check out exactly what our revolutionary air purification system is capable of!

Use it in the car or home
Eliminate smoke and odors in seconds
Eliminate smoke and odors in seconds",29,"ABOUT AIRPURE
Whether indoors or outdoors, there are harmful particles and bacteria that are threatening our health, weakening and damaging our lungs. Even our immune systems are affected by this harmful air. CarFresh Will instantly eleiminate all the smoke, odor and harmful bateria from your car or home.

Instantly Eliminate Odors and Smoke
Can be used in the car and at home
Ideal for car smokers



	
	
		SKU: N/A

	
	Category: Automobiles & Motocycle",4310,"https://www.myshopwala.com/wp-content/uploads/2018/09/img_about.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img_about1.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img_about2.jpg,https://www.myshopwala.com/wp-content/uploads/2018/09/img_about3.jpg",,,,,,,,
